reviewer_id,mentoring_id,rating
4002,29,3
4002,46,2
4002,17,3
4002,50,5
4002,7,1
4002,39,1
4002,8,5
4002,41,1
16832,16,5
16832,44,2
16832,45,3
16832,21,2
16832,1,5
16832,9,1
16832,20,3
16832,8,1
18965,31,4
18965,14,4
18965,6,3
18965,38,4
18965,47,5
18965,57,4
18965,1,5
18965,27,4
18965,30,1
410,25,2
410,47,4
410,30,2
410,37,5
410,10,1
410,22,1
410,7,2
410,23,4
410,42,2
18515,11,1
18515,58,3
18515,18,5
18515,44,2
18515,49,4
18515,48,4
18515,23,3
18515,6,4
18515,15,5
12471,5,1
12471,57,5
12471,31,3
12471,12,5
12471,18,2
12471,26,3
12471,1,4
12471,10,5
12471,2,5
12471,15,3
14373,43,3
14373,10,2
14373,7,3
14373,51,3
14373,28,5
14373,31,4
14373,34,3
14373,11,4
14373,48,5
14373,44,1
7089,34,4
7089,43,4
7089,42,5
7089,35,4
7089,14,1
7089,55,2
7089,9,3
7089,36,5
6300,23,2
6300,57,2
6300,37,5
6300,29,3
6300,2,2
6300,35,2
6300,42,5
6300,18,1
6300,39,5
17667,20,4
17667,58,2
17667,51,1
17667,40,4
17667,16,4
17667,24,2
17667,11,3
17667,10,4
17667,39,4
17667,45,1
14599,9,2
14599,34,2
14599,4,3
14599,41,3
14599,32,3
14599,30,3
14599,18,2
14599,46,3
14599,11,3
14599,5,5
19303,53,4
19303,58,5
19303,5,1
19303,10,3
19303,40,3
19303,15,2
19303,50,5
19303,33,4
19303,39,2
19303,34,2
17434,24,3
17434,31,2
17434,50,5
17434,18,1
17434,36,5
17434,2,5
17434,7,2
17434,27,4
17434,51,3
9623,44,4
9623,43,3
9623,33,1
9623,11,2
9623,38,1
9623,51,4
9623,8,2
9623,57,1
9623,25,2
11374,48,5
11374,8,3
11374,27,1
11374,43,5
11374,49,3
11374,24,5
11374,56,2
11374,17,3
11374,58,2
11374,50,2
14542,25,4
14542,3,3
14542,9,2
14542,14,4
14542,57,3
14542,2,2
14542,30,2
